Bug ID,chunk
41241,"Product: JDT
Component: UI
Severity: enhancement
Priority: P2
Summary: enhance 'move static' to handle member types [refactoring]
Resolution: FIXED"
36870,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: Separate the Ant UI from ExternalToolsUI
Resolution: FIXED"
389647,"Product: Platform
Component: User Assistance
Severity: normal
Priority: P3
Summary: multiple broken links on the platform-ua site
Resolution: FIXED"
209943,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: LaunchConfigurationQueryParticipant does not respect search scope
Resolution: FIXED"
136416,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: Terminated threads appearing in debug view
Resolution: FIXED"
300771,"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: Dead code in pde.ui
Resolution: FIXED"
9285,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: 1GRKEIW:Debugger scrolls up and down when it is not needed
Resolution: FIXED"
110243,"Product: Platform
Component: UI
Severity: major
Priority: P1
Summary: heap monitor causes errors during tests
Resolution: FIXED"
22458,"Product: JDT
Component: Core
Severity: major
Priority: P2
Summary: Refactoring a package does not move the package's directory
Resolution: FIXED"
81612,"Product: JDT
Component: UI
Severity: normal
Priority: P2
Summary: Invalid thread access while refactoring
Resolution: FIXED"
5339,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: ""Not responding"" in stack trace after breakpoint encountered
Resolution: FIXED"
228264,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: NPE when copying stack trace.
Resolution: FIXED"
137769,"Product: Platform
Component: Debug
Severity: minor
Priority: P3
Summary: [launching] Launch history is not updated/Run Last Launched fails due to working set filter
Resolution: FIXED"
104852,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: Debug View  changes focus on removal of terminated launch forcing editor popup
Resolution: FIXED"
14060,"Product: Platform
Component: Debug
Severity: normal
Priority: P1
Summary: stepping slow - timer takes 99% of CPU
Resolution: FIXED"
250056,"Product: JDT
Component: Core
Severity: normal
Priority: P3
Summary: [compiler][null] Another assert and ""Redundant null check""
Resolution: FIXED"
6414,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: inline temp not activated on a valid selection
Resolution: FIXED"
356108,"Product: PDE
Component: Doc
Severity: normal
Priority: P3
Summary: Update the screen shots for the API Tools errors / warnings page
Resolution: FIXED"
65356,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: source lookup tab migration from 2.1 to 3.0
Resolution: FIXED"
65391,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: No confirm before migration of external builder: 2.1.3 -> 3.0
Resolution: FIXED"
32842,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Java Line Breakpoint - instance restriction problem
Resolution: FIXED"
248054,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: Can't set breakpoint annotation as Highlighted
Resolution: FIXED"
448863,"Product: Platform
Component: Search
Severity: normal
Priority: P3
Summary: [Search] Refresh on Access ignored during text search
Resolution: FIXED"
19435,"Product: JDT
Component: UI
Severity: normal
Priority: P2
Summary: Artwork
Resolution: FIXED"
140565,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [clean up] 'change all acces through instances' + 'remove unused imports' leads to code with fatal errors
Resolution: FIXED"
54976,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: VM fails to launch when specifying default VM arguments
Resolution: FIXED"
76511,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Progress] NPE creating hierarchy
Resolution: FIXED"
66688,"Product: Platform
Component: Search
Severity: normal
Priority: P2
Summary: Search dialog: 'Customize' button has wrong size
Resolution: FIXED"
